Name,ISO,UN_Region,UN_Subregion,WB_Income_Group,HDI_Group,UNFCCC,G7,G20,G77,LDC,SIDS,AOSIS,BASIC,BRICS,EU27,ETS,OPEC,Arab_States,Cartagena,Umbrella,MAC_MIT,MAC_McKinsey,MAC_GCAM,RCP_IIASA
Russian Federation,RUS,Europe,Eastern Europe,UMC,VHi HDI,Annex 1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,FSU,RUS,RUSg,REF
Rwanda,RWA,Africa,Sub-Saharan Africa,LIC,Lo HDI,Non-Annex 1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,AFR,rAFR,AFRE,MAF
São Tomé and Príncipe,STP,Africa,Sub-Saharan Africa,LMC,Med HDI,Non-Annex 1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,AFR,rAFR,AFRW,MAF
Saint Kitts and Nevis,KNA,Americas,Latin America and the Caribbean,HIC,Hi HDI,Non-Annex 1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,ROW,rLAM,CAC,LAMi
Saint Lucia,LCA,Americas,Latin America and the Caribbean,UMC,Hi HDI,Non-Annex 1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,ROW,rLAM,CAC,LAMi
Saint Vincent and the Grenadines,VCT,Americas,Latin America and the Caribbean,UMC,Hi HDI,Non-Annex 1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,ROW,rLAM,CAC,LAMi
Samoa,WSM,Oceania,Polynesia,LMC,Hi HDI,Non-Annex 1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,ROW,rdASI,ANZg,OECD90
Saudi Arabia,SAU,Asia,Western Asia,HIC,VHi HDI,Non-Annex 1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,MES,MESm,MESg,MAF
Senegal,SEN,Africa,Sub-Saharan Africa,LMC,Lo HDI,Non-Annex 1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,AFR,rAFR,AFRW,MAF
Serbia,SRB,Europe,Southern Europe,UMC,VHi HDI,Non-Annex 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,EET,rEET,EEUR,REF
Seychelles,SYC,Africa,Sub-Saharan Africa,HIC,Hi HDI,Non-Annex 1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,AFR,rAFR,AFRE,MAF
Sierra Leone,SLE,Africa,Sub-Saharan Africa,LIC,Lo HDI,Non-Annex 1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,AFR,rAFR,AFRW,MAF
Singapore,SGP,Asia,South-eastern Asia,HIC,VHi HDI,Non-Annex 1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,ASI,CHNm,SEASI,ASIA
Slovak Republic,SVK,Europe,Eastern Europe,HIC,VHi HDI,Annex 1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,EET,rEUR,EEUR,REF
Slovenia,SVN,Europe,Southern Europe,HIC,VHi HDI,Annex 1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,EET,rEUR,EEUR,REF
Solomon Islands,SLB,Oceania,Melanesia,LMC,Med HDI,Non-Annex 1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,ROW,rOECDP,ANZg,OECD90
Somalia,SOM,Africa,Sub-Saharan Africa,LIC,,Non-Annex 1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,AFR,rAFR,AFRE,MAF
South Africa,ZAF,Africa,Sub-Saharan Africa,UMC,Hi HDI,Non-Annex 1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,AFR,ZAF,ZAFg,MAF
Spain,ESP,Europe,Southern Europe,HIC,VHi HDI,Annex 1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,EUR,rEUR,EU12,OECD90
Sri Lanka,LKA,Asia,Southern Asia,LMC,Hi HDI,Non-Annex 1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,ROW,rdASI,SASI,ASIA
Sudan,SDN,Africa,Northern Africa,LIC,Lo HDI,Non-Annex 1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,AFR,rAFR,AFRN,MAF
Suriname,SUR,Americas,Latin America and the Caribbean,UMC,Hi HDI,Non-Annex 1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,LAM,rLAM,SAN,LAMi
Sweden,SWE,Europe,Northern Europe,HIC,VHi HDI,Annex 1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,EUR,rEUR,EU15,OECD90
Switzerland,CHE,Europe,Western Europe,HIC,VHi HDI,Annex 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,EUR,rOECDE,EFTA,OECD90
Syria,SYR,Asia,Western Asia,LIC,Med HDI,Non-Annex 1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,MES,MESm,MESg,MAF
Tajikistan,TJK,Asia,Central Asia,LMC,Med HDI,Non-Annex 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FSU,rdASI,CASI,REF
Tanzania,TZA,Africa,Sub-Saharan Africa,LMC,Lo HDI,Non-Annex 1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,AFR,rAFR,AFRE,MAF
Thailand,THA,Asia,South-eastern Asia,UMC,VHi HDI,Non-Annex 1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,ASI,rdASI,SEASI,ASIA
Timor-Leste,TLS,Asia,South-eastern Asia,LMC,Med HDI,Non-Annex 1,0,0,0,1,1,1,0,0,0,0,0,0,1,0,ROW,rdASI,SEASI,ASIA
Togo,TGO,Africa,Sub-Saharan Africa,LIC,Lo HDI,Non-Annex 1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,AFR,rAFR,AFRW,MAF
Tonga,TON,Oceania,Polynesia,UMC,Hi HDI,Non-Annex 1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,ROW,rdASI,ANZg,ASIA
Trinidad and Tobago,TTO,Americas,Latin America and the Caribbean,HIC,VHi HDI,Non-Annex 1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,ROW,rLAM,CAC,LAMi
Tunisia,TUN,Africa,Northern Africa,LMC,Hi HDI,Non-Annex 1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,AFR,rAFR,AFRN,MAF
Turkey,TUR,Asia,Western Asia,UMC,,Annex 1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,ROW,rdASI,CASI,OECD90
Turkmenistan,TKM,Asia,Central Asia,UMC,Hi HDI,Non-Annex 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FSU,rdASI,CASI,REF
Turks and Caicos,TCA,Americas,Latin America and the Caribbean,HIC,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ROW,rLAM,CAC,LAMi
Uganda,UGA,Africa,Sub-Saharan Africa,LIC,Lo HDI,Non-Annex 1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,AFR,rAFR,AFRE,MAF
Ukraine,UKR,Europe,Eastern Europe,LMC,Hi HDI,Annex 1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,FSU,rEET,EEUR,REF
United Arab Emirates,ARE,Asia,Western Asia,HIC,VHi HDI,Non-Annex 1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,MES,MESm,MESg,MAF
United Kingdom,GBR,Europe,Northern Europe,HIC,VHi HDI,Annex 1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,EUR,GBR,EU12,OECD90
United States,USA,Americas,Northern America,HIC,VHi HDI,Annex 1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,USA,USAm,USAg,OECD90
Uruguay,URY,Americas,Latin America and the Caribbean,HIC,VHi HDI,Non-Annex 1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,LAM,rLAM,SAS,LAMi
Uzbekistan,UZB,Asia,Central Asia,LMC,Hi HDI,Non-Annex 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FSU,rdASI,CASI,REF
Vanuatu,VUT,Oceania,Melanesia,LMC,Med HDI,Non-Annex 1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,ROW,rOECDP,ANZg,OECD90
Venezuela,VEN,Americas,Latin America and the Caribbean,UMC,Med HDI,Non-Annex 1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,LAM,rLAM,SAN,LAMi
Vietnam,VNM,Asia,South-eastern Asia,LMC,Hi HDI,Non-Annex 1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,ROW,rdASI,SEASI,ASIA
Yemen,YEM,Asia,Western Asia,LIC,Lo HDI,Non-Annex 1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,MES,MESm,MESg,MAF
Zambia,ZMB,Africa,Sub-Saharan Africa,LIC,Med HDI,Non-Annex 1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,AFR,rAFR,AFRS,MAF
Zimbabwe,ZWE,Africa,Sub-Saharan Africa,LMC,Med HDI,Non-Annex 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AFR,rAFR,AFRS,MAF
