Name,ISO,UN_Region,UN_Subregion,WB_Income_Group,HDI_Group,UNFCCC,G7,G20,G77,LDC,SIDS,AOSIS,BASIC,BRICS,EU27,ETS,OPEC,Arab_States,Cartagena,Umbrella,MAC_MIT,MAC_McKinsey,MAC_GCAM,RCP_IIASA
Cayman Islands,CYM,Americas,Latin America and the Caribbean,HIC,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ROW,rLAM,CAC,LAMi
Central African Republic,CAF,Africa,Sub-Saharan Africa,LIC,Lo HDI,Non-Annex 1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,AFR,rAFR,AFRW,MAF
Chad,TCD,Africa,Sub-Saharan Africa,LIC,Lo HDI,Non-Annex 1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,AFR,rAFR,AFRE,MAF
Chile,CHL,Americas,Latin America and the Caribbean,HIC,VHi HDI,Non-Annex 1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,LAM,rLAM,SAS,LAMi
China,CHN,Asia,Eastern Asia,UMC,Hi HDI,Non-Annex 1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,CHN,CHNm,CHNg,ASIA
Colombia,COL,Americas,Latin America and the Caribbean,UMC,Hi HDI,Non-Annex 1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,LAM,rLAM,COLg,LAMi
Comoros,COM,Africa,Sub-Saharan Africa,LMC,Med HDI,Non-Annex 1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,AFR,rAFR,AFRE,MAF
Costa Rica,CRI,Americas,Latin America and the Caribbean,UMC,VHi HDI,Non-Annex 1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,LAM,rLAM,CAC,LAMi
Croatia,HRV,Europe,Southern Europe,HIC,VHi HDI,Annex 1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,EUR,rEUR,EEUR,REF
Cuba,CUB,Americas,Latin America and the Caribbean,UMC,Hi HDI,Non-Annex 1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,LAM,rLAM,CAC,LAMi
Cyprus,CYP,Asia,Western Asia,HIC,VHi HDI,Annex 1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,EUR,rEUR,EEUR,REF
Czech Republic,CZE,Europe,Eastern Europe,HIC,VHi HDI,Annex 1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,EET,rEUR,EEUR,REF
